oai:openimages.eu:1152615|Bloemententoonstelling|"Weekjournaal van Polygoon Hollands Nieuws van week 28 uit 1948."|"bloemen;jubilea;tentoonstellingen;Wilhelmina (koningin Nederland)"|"De gemeente Apeldoorn heeft in park Berg en Bosch een grote openbare bloemenhulde laten inrichten tgv het 50-jarig regeringsjubileum van koningin Wilhelmina."|"Polygoon Hollands Nieuws (producent) / Nederlands Instituut voor Beeld en Geluid (beheerder)"|1948-07-01|https://www.openbeelden.nl/media/1152615|https://creativecommons.org/publicdomain/mark/1.0/|https://www.openbeelden.nl/files/11/52/1152619.1152614.WEEKNUMMER482-HRE0000DEE3_1389000_1463000.mp4
oai:openimages.eu:1152637|Sportparade|"Weekjournaal van Polygoon Hollands Nieuws van week 28 uit 1948."|optochten;sport|"Tgv de Sportweek trekt een optocht van sportverenigingen door de straten van Amsterdam van het IJsclubterrein naar de Dam."|"Polygoon Hollands Nieuws (producent) / Nederlands Instituut voor Beeld en Geluid (beheerder)"|1948-07-01|https://www.openbeelden.nl/media/1152637|https://creativecommons.org/publicdomain/mark/1.0/|https://www.openbeelden.nl/files/11/52/1152641.1152636.WEEKNUMMER482-HRE0000DEE6_2005240_2068520.mp4
oai:openimages.eu:1152656|"Hebben onze olympische candidaten in Londen een kans?"|"Weekjournaal van Polygoon Hollands Nieuws van week 28 uit 1948."|"atletiek;gewichtheffen;hardlopen;roeien;sport;waterpolo;zwemmen;trainers;Blankers, Jan;Blankers-Koen;Fanny Charité, Bram;Slijkhuis, Wim;Stender, Jan;Braun, Ma"|"Een aantal Nederlandse Olympische medaillekandidaten voor de Spelen in Londen 1948 worden voorgesteld: ze worden getoond in hun beroeps- en/of privésituatie en/of tijdens de training. Voorgesteld worden o.a. gewichtheffer Bram Charité, hardloopster Fanny Blankers-Koen en haar echtgenoot en trainer Jan Blankers, hardloper Wim Slijkhuis en dubbel-twee-roeiers C.T. Neumeier en H. van der Meer. SHOTS o.a. vrouwenatletiekploeg o.l.v. Jan Blankers trainend; vrouwenzwemploeg trainend olv mevrouw 'Ma' Braun; andere zwemsters oefenen olv Jan Stender; mannenwaterpoloteam trainend."|"Polygoon Hollands Nieuws (producent) / Nederlands Instituut voor Beeld en Geluid (beheerder)"|1948-07-01|https://www.openbeelden.nl/media/1152656|https://creativecommons.org/publicdomain/mark/1.0/|https://www.openbeelden.nl/files/11/52/1152660.1152655.WEEKNUMMER482-HRE0000DEF5_1674000_1832000.mp4
oai:openimages.eu:1152677|"Een nieuw dok voor de Rotterdamse Droogdok Maatschappij"|"Weekjournaal van Polygoon Hollands Nieuws van week 28 uit 1948."|dokken;sleepboten;RDM|"Tijdens de Tweede Wereldoorlog gebruikte de Britse admiraliteit een groot droogdok voor het onderhoud van grote Britse oorlogsschepen. Nu is het dok aangekocht door de Rotterdamse Droogdok Maatschappij die het door zeeslepers laat overbrengen van Schotland naar de haven van Rotterdam. SHOTS: - slepers varen, met het dok op sleeptouw, bij Hoek van Holland de Nieuwe Waterweg op; - ext. en int. van het dok; drie runners lopen over de bodem."|"Polygoon Hollands Nieuws (producent) / Nederlands Instituut voor Beeld en Geluid (beheerder)"|1948-06-01|https://www.openbeelden.nl/media/1152677|https://creativecommons.org/publicdomain/mark/1.0/|https://www.openbeelden.nl/files/11/52/1152681.1152676.WEEKNUMMER482-HRE0000DEEB_1222000_1275000.mp4
oai:openimages.eu:1152696|"Ondertekening van de bilaterale overeenkomst tussen Nederland en de Verenigde Staten"|"Weekjournaal van Polygoon Hollands Nieuws van week 28 uit 1948."|"economische hulp;wederopbouw, Marshallplan, Boetzelaer van Oosterhout, C.G.W.H.;Lieftinck, Pieter"|"Het Marshall-plan, genoemd naar de Amerikaanse minister van Buitenlandse Zaken George Marshall, voorziet in leverantie van Amerikaanse goederen waarvan de prijs op een speciale manier kan worden betaald ivm met de dollarliquiditeitscrisis van de Europese economieën na de Tweede Wereldoorlog. In het ministerie van Buitenlandse Zaken te Den Haag ondertekenen de Amerikaanse ambassadeur, dr. H. Baruch (met snor en sik), en de Nederlandse minister van Buitenlandse Zaken, mr. C.G.W.H. baron Boetzelaer van Oosterhout een verdrag waardoor de hulp van het Marshall-plan voor Nederland wordt geregeld. Aanwezig zijn daarbij oa de minister van Economische Zaken, dr. J.R.M. van den Brink en de minister van Financiën, dr. P. Lieftinck. 21:45 Baruch tekent; 21:51 Lieftinck kijkt toe; 21:53 Boetzelaer tekent."|"Polygoon Hollands Nieuws (producent) / Nederlands Instituut voor Beeld en Geluid (beheerder)"|1948-07-02|https://www.openbeelden.nl/media/1152696|https://creativecommons.org/publicdomain/mark/1.0/|https://www.openbeelden.nl/files/11/52/1152700.1152695.WEEKNUMMER482-HRE000298EC_1275000_1325960.mp4
oai:openimages.eu:1152715|"Nationale zwemkampioenschappen"|"Weekjournaal van Polygoon Hollands Nieuws van week 29 uit 1948."|"zemmen;schoonspringen;Termeulen, Hanny;Vliet, Nel van"|"n Den Haag worden de nationale zwemkampioenschappen gehouden. Bij de heren wint Kees Hoving de 100 mtr. borstcrawl; Hanny Termeulen idem bij de dames. Nel van Vliet wint de 200 mtr. schoolslag dames; Kiki Heck en Cobi Floor selecteren zich voor de Olympische Spelen te Londen voor het schoonspringen."|"Polygoon Hollands Nieuws (producent) / Nederlands Instituut voor Beeld en Geluid (beheerder)"|1948-07-08|https://www.openbeelden.nl/media/1152715|https://creativecommons.org/publicdomain/mark/1.0/|https://www.openbeelden.nl/files/11/52/1152719.1152714.WEEKNUMMER482-HRE0000DEF0_2134000_2239000.mp4
oai:openimages.eu:1152737|"Laatste appel van de Nederlands olympische ploeg"|"Weekjournaal van Polygoon Hollands Nieuws van week 30 uit 1948."|"sport;NOC;Olympische Spelen;Lotsy, Karel;Pahud de Mortanges, Charles F."|"Het NOC roept de Nederlandse sporters bijeen die zullen worden uitgezonden naar de Olympische Spelen in Londen. Te Amsterdam houdt de chef de mission, Karel Lotsy, een donderspeech. De voorzitter van het Nederlands Olympisch Comité, Ch. F. Pahud de Mortanges, spreekt de aanwezigen toe. 41:53 coach Nederlandse dameszwemploeg, mevr. Braun (links, met hoed)."|"Polygoon Hollands Nieuws (producent) / Nederlands Instituut voor Beeld en Geluid (beheerder)"|1948-06-17|https://www.openbeelden.nl/media/1152737|https://creativecommons.org/publicdomain/zero/1.0/|https://www.openbeelden.nl/files/11/52/1152741.1152736.WEEKNUMMER483-HRE0000DEF2_2489000_2578000.mp4
oai:openimages.eu:1152756|"Tenniswedstrijden Bromwich wint van Falkenburg"|"Weekjournaal van Polygoon Hollands Nieuws van week 30 uit 1948."|tennis|"Overvolle tribunes op de tennisbaan in Noordwijk bij de finales van het toernooi der internationale tennisclubs. De Australiër Bromwich, uitkomend voor Nederland, wint van de Amerikaan Falkenburg."|"Polygoon Hollands Nieuws (producent) / Nederlands Instituut voor Beeld en Geluid (beheerder)"|1948-07-18|https://www.openbeelden.nl/media/1152756|https://creativecommons.org/publicdomain/mark/1.0/|https://www.openbeelden.nl/files/11/52/1152760.1152755.WEEKNUMMER483-HRE0000DEE1_2576000_2654000.mp4
oai:openimages.eu:1152774|"De Kaagweek"|"Weekjournaal van Polygoon Hollands Nieuws van week 30 uit 1948."|zeilen;zeilschepen|"Op de Kagerplassen worden de traditionele snelheidswedstrijden over kortere afstanden voor zeilboten gehouden."|"Polygoon Hollands Nieuws (producent) / Nederlands Instituut voor Beeld en Geluid (beheerder)"|1948-07-01|https://www.openbeelden.nl/media/1152774|https://creativecommons.org/publicdomain/mark/1.0/|https://www.openbeelden.nl/files/11/52/1152778.1152773.WEEKNUMMER483-HRE0000DEDF_2827000_2893000.mp4
oai:openimages.eu:1152806|"Handboogwedstrijd Nederland-België"|"Weekjournaal van Polygoon Hollands Nieuws van week 30 uit 1948."|boogschieten|"Op het Stuyvesant-plein te Tilburg worden wedstrijden boogschieten gehouden tussen ploegen uit Nederland en België. Nederland wint. SHOTS: - de deelnemers trekken teamsgewijs in optocht door de straten, bogen in de hand; - schietwedstrijden."|"Polygoon Hollands Nieuws (producent) / Nederlands Instituut voor Beeld en Geluid (beheerder)"|1948-07-18|https://www.openbeelden.nl/media/1152806|https://creativecommons.org/publicdomain/mark/1.0/|https://www.openbeelden.nl/files/11/52/1152810.1152805.WEEKNUMMER483-HRE0000DEE9_2433000_2491000.mp4
