5a71eb42-d31d-4cf0-9a63-42319bfeb9c6|Guy_Consolmagno__ex2.srt
0721c557-b4d9-4ef9-ad97-91d663b38125|Yuri_Oganessian__ex2.srt
9f1b6821-a930-4653-b400-c1f517da7da6|Carolina_Cruz__br.srt
b6d136c8-dd4d-4792-97ec-979f27a7d833|Artur_Avila__br.srt
1ab7edd6-a41a-451e-946c-cfb2b97947e7|Joanna_Aizenberg.srt
0c53e6c5-9890-4696-88b6-7d3246405ce5|Pascale_Fung.srt
1fddd827-d868-4f1e-b649-ff8a2893dae6|Susant_Pattnaik__ex2.srt
cd1fbc56-110c-4243-80a5-f36aa3082840|Lee_Cronin__ex2.srt
7a66ecd9-f5e1-4638-a62c-26532c804632|Lee_Cronin__ex.srt
28ad638d-a795-459c-9f1e-4775a5174cec|George_Church__ex.srt
55581e52-23a9-4939-9471-5a0f899298c1|Jean-Jacques_Hublin__ex3.srt
e69e1394-920a-4e0b-ba06-2f532aaf6b06|Jian-Wei_Pan__br2.srt
aa72592a-3ddb-45d6-b2c7-e3ca2abe959b|Hani_Hayajneh__ex2.srt
c0a365ba-6f52-4a53-8814-78f9c08944cf|Hani_Hayajneh__ex.srt
0f231a24-869a-4f4b-a93e-06bcd6e2dfc9|Sara_Seager__ex3.srt
0d4fbb1a-060b-498a-9c8e-3a7e6dcf0601|Segenet_Kelemu__ex2.srt
55e2bae4-e5d4-4823-81d4-6a3838238978|Sara_Seager__ex2.srt
b36b6985-a514-4566-80c1-a3a37810554b|Michel_Poulain__br.srt
f78a84bb-2f91-417e-bebb-ff0671d1c5d7|Michel_Poulain__ex.srt
231efbd0-86d4-4602-a580-170ded33d6e2|Erik_Demaine__br.srt
e81e12c1-6534-420d-abd2-4b6451f82b73|Miguel_Nicolelis__ex.srt
5e49390d-548e-43c9-b981-8770dfb45f0b|Joanna_Aizenberg__br.srt
9623d1de-7edc-4bba-be74-46f57b74807e|Rick_Tumlinson__br2.srt
7eb63e4a-40e3-4113-94c2-21ac1dc02f01|Donald_Hoffman__ex2.srt
f8c7a20c-e05b-4766-81e2-19374277eb4e|Susant_Pattnaik__ex3.srt
22097961-2ef1-4089-9711-721d6495babc|Martin_Rees.srt
0d8a7e96-4192-4a40-bbea-d2ea926620da|John_List__ex2.srt
7099c2d4-cd71-411d-9b72-5491f8bbe528|Ron_Fouchier__ex.srt
c709cc8b-a898-46b4-9548-10aa0ea64426|Juan_Maldacena__br.srt
f5bf070f-56a9-4959-8035-7bc327372370|Jian-Wei_Pan__br.srt
fa434f4b-870f-4eaf-94da-b98b10211d0b|Rick_Tumlinson__br.srt
ef47cff3-3fe0-4f6b-a7e6-cb284125a81a|Guy_Consolmagno__ex3.srt
d308c2f7-a360-4ae0-a88e-f4dc220662ef|George_Whitesides.srt
f2a8c245-f4f7-425a-98d8-4320487998a3|Sara_Seager__ex.srt
ba0335ba-c72b-4410-a6ee-1e7cf0e323d5|Hans_Clevers__ex2.srt
06c87bc4-9559-4605-b200-a3ef8035f573|Miguel_Nicolelis__ex2.srt
ce4d799c-44f3-43ae-972e-7c3e4db21942|Yuri_Oganessian__ex.srt
30799ea4-2344-4e86-9355-df80565004c8|John_List__ex.srt
b91c70d8-1268-4e9e-9d62-1acb3ecf1a78|Ron_Fouchier__ex2.srt
228af49b-3c14-4ac5-a85a-16742c86a249|John_List__ex3.srt
1137e64a-b4ab-4afc-9800-ed56e9d01933|Joanna_Aizenberg__br2.srt
