Collectie,Carrier number (filename),Titel,Program DAAN-link,DAAN ID,Titel,Subject terms,Geografische namen,Summaryshort,PGM,Sort date,Summary
Kuyck,"ALLEGORISCHEO-HRE0003F13C.mxf",ALLEGORISCHE OPTOCHT Deel 2,https://zoeken.beeldengeluid.nl/program/urn:vme:default:program:2101608050034966331,2101608050034966331,ALLEGORISCHE OPTOCHT,amateuropnamen,Haarlem,Amateurfilm van Wouter Kuyck in kleur over een allegorische optocht in Haarlem t.g.v. het 40-jarig regeringsjubileum van koningin Wilhelmina.,PGM84922,1938-09-06,
Kuyck,"NEDERLANDSETE-HRE0003F139.mxf",NEDERLANDSE TELEGRAAF MY RADIO HOLLAND Deel 2,https://zoeken.beeldengeluid.nl/program/urn:vme:default:program:2101608050034966231,2101608050034966231,NEDERLANDSE TELEGRAAF MY RADIO HOLLAND Deel 1 en 2,,Nederlands-Indië,"Eerste twee delen van een amateurfilm van Wouter Kuyck, waarin hij een beeld geeft van het reilen en zeilen bij (de werkplaats van) Radio Holland in Nederlands-Indië.",PGM84913,,SHOTS: straatleven voor de electrotechnische werkplaats Radio Holland;
Kuyck,"RALLYOPDEGROT-HRE0003F13D.mxf",RALLY OP DE GROTE MARKT TE HAARLEM Deel 2,https://zoeken.beeldengeluid.nl/program/urn:vme:default:program:2101608050034966531,2101608050034966531,RALLY OP DE GROTE MARKT TE HAARLEM,amateuropnamen; padvinderij,Haarlem,Amateurfilm van Wouter Kuyck over een padvinders 'rally' op de Grote markt in Haarlem. Deze massale stormloop naar één centraal punt door de Haarlemse padvinders werd gehouden ter gelegenheid van het 40-jarig regeringsjubileum van H.M. Koningin Wilhelmina. Shots van autoriteiten met hoge hoed op het bordes van het stadhuis. De districtscommissaris van de Nederlandse padvindersvereniging de heer M.C. de Jong spreekt de autoriteiten toe.,PGM84923,1938-09-06,
