oai:openimages.eu:1024647|"Hani Hayajneh: Extra footage 1"||"Semitic languages;Cultural history;Middle East;Jordan;Linguistics"|"Hani Hayajneh discussing and documenting rock inscriptions with his students"||VPRO|2015-11-06|https://www.openbeelden.nl/media/1024647|https://creativecommons.org/licenses/by-sa/3.0/nl/|https://www.openbeelden.nl/files/10/24/1024651.Hani_Hayajneh_ex.mp4|
oai:openimages.eu:1024629|"Sara Seager: Extra footage 2"||"Astronomical systems;Astrophysics;Astronomical observatories;Astronomical systems;Technology;Planets;Space;Space sciences"|"Exoplanet hunter Sara Seager goes stargazing with her family"||VPRO|2016-04-26|https://www.openbeelden.nl/media/1024629|https://creativecommons.org/licenses/by-sa/3.0/nl/|https://www.openbeelden.nl/files/10/24/1024633.Sara_Seager_ex3.mp4|
oai:openimages.eu:1024564|"Segenet Kelemu: Extra footage 1"||"Plants;Agricultural development;Food technology;Africa;Kenya;Plant diseases;Plant ecology;Soil sciences;Crops;African cultures"|"Segenet Kelemu demonstrates her scientific 'push-pull' plant revolution in agriculture, and discusses its impact with the locals"||VPRO|2015-11-24|https://www.openbeelden.nl/media/1024564|https://creativecommons.org/licenses/by-sa/3.0/nl/|https://www.openbeelden.nl/files/10/24/1024568.Segenet_Kelemu_ex2.mp4|
oai:openimages.eu:1024581|"Sara Seager: Extra footage 1"||"Astronomical observatories;Astrophysics;Astronomy;Space;Astronomical systems;Planets"|"Exoplanet hunter Sara Seager talks about finding exoplanets while showing different videos and models of the universe in her office"||VPRO|2016-04-26|https://www.openbeelden.nl/media/1024581|https://creativecommons.org/licenses/by-sa/3.0/nl/|https://www.openbeelden.nl/files/10/24/1024585.Sara_Seager_ex2.mp4|
oai:openimages.eu:1024500|"Michel Poulain - Extra Footage 1"||"Demography;Explorer;Sardinia;Villagrande Strisaili;Longevity;Ageing;Italy;Blue zone"|"Extra Footage of Belgian demographer Michel Poulain and Villagrande Strisaili, Sardinia (Italy). Shots of Poulain talking to inhabitant Michelino Scuddo, visiting the graveyard. Shots of a traditional family dinner. Shots of a shepard and his herd."||VPRO|2016-06-19|https://www.openbeelden.nl/media/1024500|https://creativecommons.org/licenses/by-sa/3.0/nl/|https://www.openbeelden.nl/files/10/24/1024504.Michel_Poulain_br.mp4|
oai:openimages.eu:1024517|"Michel Poulain - Extra Footage 2"||"Demography;Old age;Biology;Future society;Italy;Ageing;Culture;Food customs"|"Belgian demographer Michel Poulain elaborating on 'blue zones' in Villagrande Strisaili, Sardinia (Italy), and visiting a local cemetery and village vital for his research"||VPRO|2016-06-19|https://www.openbeelden.nl/media/1024517|https://creativecommons.org/licenses/by-sa/3.0/nl/|https://www.openbeelden.nl/files/10/24/1024521.Michel_Poulain_ex.mp4|
oai:openimages.eu:1024377|"Erik Demaine - Extra footage"||"Mathematics;Mathematical analysis;Play"|"Demaine in his office; Erik and Marty Demaine working on origami and visiting PAX at the Boston Convention - the largest gaming event in the USA; working on a board game"||VPRO|1960-01-01|https://www.openbeelden.nl/media/1024377|https://creativecommons.org/licenses/by-sa/3.0/nl/|https://www.openbeelden.nl/files/10/24/1024381.Erik_Demaine_br.mp4|
oai:openimages.eu:1024394|"Miguel Nicolelis on his experiment to connect brains by combining EEG-signals from the brain"||"Brain;Experimental psychology;Experiments"|"Brazilian neuroscientist Miguel Nicolelis shows an expiriment on connecting two distinct human brains; he also demonstrates an experiment that helps paralyzed people to learn to walk again by using virtual reality and robotics"||VPRO|2016-02-28|https://www.openbeelden.nl/media/1024394|https://creativecommons.org/licenses/by-sa/3.0/nl/|https://www.openbeelden.nl/files/10/24/1024398.Miguel_Nicolelis_ex.mp4|
oai:openimages.eu:1024316|"Joanna Aizenberg - Extra Footage 1"||"Materials;Biology;Plants;Experiments;Fishing industry;Plant products"|"Aizenbergs team visiting the location in Cape Cod where liquid-infused porous surfaces technology developed in Aizenberg's lab is being tested."||VPRO|2016-09-22|https://www.openbeelden.nl/media/1024316|https://creativecommons.org/licenses/by-sa/3.0/nl/|https://www.openbeelden.nl/files/10/24/1024320.Joanna_Aizenberg_br.mp4|
oai:openimages.eu:1024334|"Rick Tumlinson: Extra footage 1"||"Space exploration;American history;Colonialism;Historiography;Future society;Social history;Cultural history"|"Rick Tumlinson visoins of a modern way of colonisation, and a sneak peak of his personal belongings"||VPRO|2016-10-02|https://www.openbeelden.nl/media/1024334|https://creativecommons.org/licenses/by-sa/3.0/nl/|https://www.openbeelden.nl/files/10/24/1024338.Rick_Tumlinson_br2.mp4|
